Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
211,M C Henriques,"KKR, DDV, RCB, SUN, KXI",62,1000,27.78,42,30.69
212,M J Henry,KXI,2,0,,1,71.0
213,S O Hetmeyer,"RCB, DDV, RRO",60,1130,32.29,0,
214,B W Hilfenhaus,CSK,17,0,,22,21.77
215,B J Hodge,"KKR, KTK, RRO",66,1400,33.33,17,17.82
216,G B Hogg,"RRO, KKR",21,22,7.33,23,24.78
217,J O Holder,"CSK, SUN, KKR, LSG, RRO",46,259,12.33,53,27.57
218,D J Hooda,"RRO, SUN, KXI, LSG",107,1320,18.33,10,50.9
219,J R Hopes,"KXI, DDV",21,417,26.06,14,39.14
220,A J Hosein,SUN,1,16,,1,40.0
221,D J Hussey,"KKR, KXI, CSK",64,1322,26.98,8,59.25
222,M E K Hussey,"CSK, MIN",59,1977,38.76,0,
223,Imran Tahir,"DDV, RPS, CSK",59,33,8.25,82,20.77
224,B Indrajith,KKR,3,21,7.0,0,
225,C A Ingram,DDV,15,205,17.08,0,
226,Iqbal Abdulla,"KKR, RRO, RCB",49,88,44.0,40,27.73
227,Ishan Kishan,"GUJ, MIN",91,2324,29.42,0,
228,S S Iyer,"DDV, KKR",101,2776,31.55,0,
229,V R Iyer,KKR,36,956,28.12,3,38.33
230,S P Jackson,KKR,9,61,10.17,0,
231,D J  Jacobs,MIN,7,92,13.14,0,
232,R A Jadeja,"RRO, KTK, CSK, GUJ",226,2692,26.39,152,29.57
233,K M Jadhav,"DDV, KTK, RCB, CSK, SUN",95,1208,22.37,0,
234,W Jaffer,RCB,8,130,16.25,0,
235,N Jagadeesan,"CSK, KKR",13,162,18.0,0,
236,I R Jaggi,"DCH, KKR",7,76,15.2,0,
237,Y B K Jaiswal,RRO,37,1172,32.56,0,
238,S B Jakati,"CSK, RCB, GUJ",59,28,28.0,47,30.87
239,K A Jamieson,"RCB, CSK",9,65,16.25,9,29.89
240,D Jansen,MIN,1,0,,1,53.0
241,M Jansen,"MIN, SUN",18,48,8.0,19,30.84
242,Jaskaran Singh,DCH,8,8,8.0,6,28.5
243,S T Jayasuriya,MIN,30,768,27.43,13,28.54
244,D P M D Jayawardene,"KXI, KTK, DDV",80,1802,28.6,0,
245,A A  Jhunjhunwala,"RRO, PWI, DCH",21,217,16.69,1,129.0
246,Joginder Sharma,CSK,16,36,9.0,12,35.83
247,M G Johnson,"MIN, KXI, KKR",54,160,12.31,61,27.92
248,C J Jordan,"RCB, SUN, KXI, CSK, MIN",34,81,8.1,30,35.67
249,A S Joseph,"MIN, GTI",19,27,27.0,20,28.8
250,S B Joshi,RCB,4,6,3.0,1,82.0
251,M C  Juneja,DDV,7,125,17.86,0,
252,D C Jurel,RRO,13,152,21.71,0,
253,M Kaif,"RRO, KXI, RCB",29,259,14.39,0,
254,J H Kallis,"RCB, KKR",98,2427,28.55,65,35.28
255,H K S R Kaluhalamulla,CSK,8,2,2.0,6,37.17
256,D  Kalyankrishna,DCH,3,3,3.0,2,43.5
257,Kamran Akmal,RRO,6,128,25.6,0,
258,Kamran Khan,"RRO, PWI",9,3,3.0,9,23.78
259,C K Kapugedera,CSK,5,16,5.33,0,
260,Karanveer Singh,KXI,9,12,12.0,12,26.75
261,K D Karthik,"DDV, KXI, MIN, RCB, GUJ, KKR",242,4516,25.81,0,
262,M Kartik,"KKR, PWI, RCB, KXI",56,113,16.14,31,44.77
263,Kartik Tyagi,"RRO, SUN",19,13,3.25,15,44.13
264,S M Katich,KXI,11,241,24.1,0,
265,S Kaul,"DDV, SUN, RCB",55,20,5.0,58,29.98
266,U  Kaul,KXI,5,0,,0,
267,S  Kaushik,GUJ,10,0,0.0,6,49.5
268,A A  Kazi,RCB,1,0,,0,
269,J M Kemp,CSK,5,26,13.0,3,18.0
270,M A Khan,MIN,6,18,9.0,5,38.0
271,S N Khan,"RCB, KXI, DDV",50,585,22.5,0,
272,Z Khan,"RCB, MIN, DDV",100,117,8.36,102,27.27
