match_id,season,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpire1,umpire2,winner,result,player_of_match,toss_decision,toss_winner,dl_applied,venue,team_a,team_b,target_overs,target_runs,win_by_runs,win_by_wickets
64,IPL-2018,6,Chennai,2018-04-10,RB Richardson,UV Gandhe,A Nand Kishore,AK Chaudhary,CB Gaffaney,Chennai Super Kings,normal,SW Billings,field,Chennai Super Kings,0,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,20.0,203,0,5
65,IPL-2018,6,Jaipur,2018-04-11,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon,Rajasthan Royals,normal,SV Samson,field,Delhi Daredevils,1,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,6.0,71,10,0
66,IPL-2018,6,Hyderabad,2018-04-12,S Chaturvedi,R Pandit,VA Kulkarni,CK Nandan,NJ Llong,Sunrisers Hyderabad,normal,Rashid Khan,field,Sunrisers Hyderabad,0,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,20.0,148,0,1
67,IPL-2018,6,Bengaluru,2018-04-13,V Narayan Kutty,K Srinath,C Shamshuddin,A Deshmukh,S Ravi,Royal Challengers Bangalore,normal,UT Yadav,field,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,20.0,156,0,4
68,IPL-2018,6,Mumbai,2018-04-14,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon,Delhi Daredevils,normal,JJ Roy,field,Delhi Daredevils,0,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,20.0,195,0,7
69,IPL-2018,6,Kolkata,2018-04-14,RB Richardson,UV Gandhe,CB Gaffaney,AK Chaudhary,A Nand Kishore,Sunrisers Hyderabad,normal,B Stanlake,field,Sunrisers Hyderabad,0,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,20.0,139,0,5
70,IPL-2018,6,Bengaluru,2018-04-15,M Nayyar,K Srinath,A Deshmukh,C Shamshuddin,S Ravi,Rajasthan Royals,normal,SV Samson,field,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,20.0,218,19,0
71,IPL-2018,6,Chandigarh,2018-04-15,S Chaturvedi,R Pandit,NJ Llong,CK Nandan,VA Kulkarni,Kings XI Punjab,normal,CH Gayle,field,Chennai Super Kings,0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,20.0,198,4,0
72,IPL-2018,6,Kolkata,2018-04-16,RB Richardson,UV Gandhe,CB Gaffaney,AK Chaudhary,A Nand Kishore,Kolkata Knight Riders,normal,N Rana,field,Delhi Daredevils,0,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,20.0,201,71,0
73,IPL-2018,6,Mumbai,2018-04-17,J Srinath,N Pandit,KN Ananthapadmanabhan,Nitin Menon,RJ Tucker,Mumbai Indians,normal,RG Sharma,field,Royal Challengers Bangalore,0,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,20.0,214,46,0
74,IPL-2018,6,Jaipur,2018-04-18,M Nayyar,K Srinath,C Shamshuddin,A Deshmukh,S Ravi,Kolkata Knight Riders,normal,N Rana,field,Kolkata Knight Riders,0,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,20.0,161,0,7
75,IPL-2018,6,Chandigarh,2018-04-19,S Chaturvedi,R Pandit,VA Kulkarni,AK Chaudhary,NJ Llong,Kings XI Punjab,normal,CH Gayle,bat,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,20.0,194,15,0
76,IPL-2018,6,Pune,2018-04-20,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon,Chennai Super Kings,normal,SR Watson,field,Rajasthan Royals,0,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,20.0,205,64,0
77,IPL-2018,6,Kolkata,2018-04-21,M Nayyar,K Srinath,S Ravi,A Deshmukh,C Shamshuddin,Kings XI Punjab,normal,KL Rahul,field,Kings XI Punjab,1,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,13.0,125,0,9
78,IPL-2018,6,Bengaluru,2018-04-21,RB Richardson,UV Gandhe,A Nand Kishore,CB Gaffaney,CK Nandan,Royal Challengers Bangalore,normal,AB de Villiers,field,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,20.0,175,0,6
79,IPL-2018,6,Hyderabad,2018-04-22,S Chaturvedi,R Pandit,NJ Llong,AK Chaudhary,VA Kulkarni,Chennai Super Kings,normal,AT Rayudu,field,Sunrisers Hyderabad,0,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,20.0,183,4,0
80,IPL-2018,6,Jaipur,2018-04-22,J Srinath,HAS Khalid,Nitin Menon,KN Ananthapadmanabhan,RJ Tucker,Rajasthan Royals,normal,JC Archer,bat,Mumbai Indians,0,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,20.0,168,0,3
81,IPL-2018,6,Delhi,2018-04-23,RB Richardson,GR Sadashiv Iyer,CB Gaffaney,A Nand Kishore,CK Nandan,Kings XI Punjab,normal,AS Rajpoot,field,Delhi Daredevils,0,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,20.0,144,4,0
82,IPL-2018,6,Mumbai,2018-04-24,V Narayan Kutty,K Srinath,A Deshmukh,C Shamshuddin,S Ravi,Sunrisers Hyderabad,normal,Rashid Khan,field,Mumbai Indians,0,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,20.0,119,31,0
83,IPL-2018,6,Bengaluru,2018-04-25,S Chaturvedi,N Pandit,AK Chaudhary,NJ Llong,VK Sharma,Chennai Super Kings,normal,MS Dhoni,field,Chennai Super Kings,0,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,206,0,5
84,IPL-2018,6,Hyderabad,2018-04-26,J Srinath,GR Sadashiv Iyer,RJ Tucker,CK Nandan,YC Barde,Sunrisers Hyderabad,normal,AS Rajpoot,field,Kings XI Punjab,0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kings XI Punjab,20.0,133,13,0
85,IPL-2018,6,Delhi,2018-04-27,RB Richardson,UV Gandhe,A Nand Kishore,C Shamshuddin,S Ravi,Delhi Daredevils,normal,SS Iyer,field,Kolkata Knight Riders,0,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,20.0,220,55,0
86,IPL-2018,6,Pune,2018-04-28,V Narayan Kutty,HAS Khalid,AY Dandekar,CB Gaffaney,Nitin Menon,Mumbai Indians,normal,RG Sharma,field,Mumbai Indians,0,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,20.0,170,0,8
87,IPL-2018,6,Jaipur,2018-04-29,AJ Pycroft,GR Sadashiv Iyer,S Ravi,BNJ Oxenford,A Nand Kishore,Sunrisers Hyderabad,normal,KS Williamson,bat,Sunrisers Hyderabad,0,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,20.0,152,11,0
88,IPL-2018,6,Bengaluru,2018-04-29,M Nayyar,R Pandit,VK Sharma,AK Chaudhary,NJ Llong,Kolkata Knight Riders,normal,CA Lynn,field,Kolkata Knight Riders,0,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,176,0,6
89,IPL-2018,6,Pune,2018-04-30,V Narayan Kutty,HAS Khalid,CK Nandan,AY Dandekar,C Shamshuddin,Chennai Super Kings,normal,SR Watson,field,Delhi Daredevils,0,Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,20.0,212,13,0
90,IPL-2018,6,Bengaluru,2018-05-01,J Srinath,N Pandit,YC Barde,M Erasmus,Nitin Menon,Royal Challengers Bangalore,normal,TG Southee,field,Mumbai Indians,0,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,168,14,0
91,IPL-2018,6,Delhi,2018-05-02,AJ Pycroft,GR Sadashiv Iyer,BNJ Oxenford,CK Nandan,VK Sharma,Delhi Daredevils,normal,RR Pant,field,Rajasthan Royals,1,Arun Jaitley Stadium,Delhi Daredevils,Rajasthan Royals,12.0,151,4,0
92,IPL-2018,6,Kolkata,2018-05-03,V Narayan Kutty,R Pandit,AK Chaudhary,A Deshmukh,HDPK Dharmasena,Kolkata Knight Riders,normal,SP Narine,field,Kolkata Knight Riders,0,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,20.0,178,0,6
