Unnamed: 0,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpires,winner,player_of_match,toss_decision,toss_winner,venue,team_a,team_b,target_overs,target_runs
51,6,Kanpur,2017-05-13,Chinmay Sharma,K Srinivasan,YC Barde,"AK Chaudhary, Nitin Menon",Sunrisers Hyderabad,Mohammed Siraj,field,Sunrisers Hyderabad,Green Park,Gujarat Lions,Sunrisers Hyderabad,20.0,155
52,6,Kolkata,2017-05-13,J Srinath,Navdeep Singh,VK Sharma,"A Nand Kishore, S Ravi",Mumbai Indians,AT Rayudu,field,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,20.0,174
53,6,Pune,2017-05-14,M Nayyar,N Pandit,KN Ananthapadmanabhan,"AY Dandekar, A Deshmukh",Rising Pune Supergiant,JD Unadkat,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,20.0,74
54,6,Delhi,2017-05-14,AJ Pycroft,R Pandit,KN Ananthapadmanabhan,"CK Nandan, C Shamshuddin",Royal Challengers Bangalore,HV Patel,bat,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,20.0,162
55,6,Mumbai,2017-05-16,J Srinath,YC Barde,CK Nandan,"S Ravi, C Shamshuddin",Rising Pune Supergiant,Washington Sundar,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,20.0,163
56,6,Bangalore,2017-05-17,M Nayyar,KN Ananthapadmanabhan,A Nand Kishore,"AK Chaudhary, Nitin Menon",Kolkata Knight Riders,NM Coulter-Nile,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,6.0,48
57,6,Bangalore,2017-05-19,Chinmay Sharma,KN Ananthapadmanabhan,C Shamshuddin,"NJ Llong, Nitin Menon",Mumbai Indians,KV Sharma,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,20.0,108
58,6,Hyderabad,2017-05-21,J Srinath,A Nand Kishore,AK Chaudhary,"NJ Llong, S Ravi",Mumbai Indians,KH Pandya,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,20.0,130
59,6,Mumbai,2018-04-07,RB Richardson,UV Gandhe,AK Chaudhary,"CB Gaffaney, A Nand Kishore",Chennai Super Kings,DJ Bravo,field,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,20.0,166
60,6,Chandigarh,2018-04-08,J Srinath,N Pandit,Nitin Menon,"KN Ananthapadmanabhan, RJ Tucker",Kings XI Punjab,KL Rahul,field,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,20.0,167
61,6,Kolkata,2018-04-08,V Narayan Kutty,K Srinath,S Ravi,"A Deshmukh, C Shamshuddin",Kolkata Knight Riders,SP Narine,field,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,177
62,6,Hyderabad,2018-04-09,S Chaturvedi,R Pandit,CK Nandan,"NJ Llong, VA Kulkarni",Sunrisers Hyderabad,S Dhawan,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,20.0,126
63,6,Chennai,2018-04-10,RB Richardson,UV Gandhe,A Nand Kishore,"AK Chaudhary, CB Gaffaney",Chennai Super Kings,SW Billings,field,Chennai Super Kings,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,20.0,203
64,6,Jaipur,2018-04-11,J Srinath,N Pandit,RJ Tucker,"KN Ananthapadmanabhan, Nitin Menon",Rajasthan Royals,SV Samson,field,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,6.0,71
65,6,Hyderabad,2018-04-12,S Chaturvedi,R Pandit,VA Kulkarni,"CK Nandan, NJ Llong",Sunrisers Hyderabad,Rashid Khan,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,20.0,148
66,6,Bengaluru,2018-04-13,V Narayan Kutty,K Srinath,C Shamshuddin,"A Deshmukh, S Ravi",Royal Challengers Bangalore,UT Yadav,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,20.0,156
67,6,Mumbai,2018-04-14,J Srinath,N Pandit,RJ Tucker,"KN Ananthapadmanabhan, Nitin Menon",Delhi Daredevils,JJ Roy,field,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,20.0,195
68,6,Kolkata,2018-04-14,RB Richardson,UV Gandhe,CB Gaffaney,"AK Chaudhary, A Nand Kishore",Sunrisers Hyderabad,B Stanlake,field,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,20.0,139
69,6,Bengaluru,2018-04-15,M Nayyar,K Srinath,A Deshmukh,"C Shamshuddin, S Ravi",Rajasthan Royals,SV Samson,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,20.0,218
70,6,Chandigarh,2018-04-15,S Chaturvedi,R Pandit,NJ Llong,"CK Nandan, VA Kulkarni",Kings XI Punjab,CH Gayle,field,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,20.0,198
71,6,Kolkata,2018-04-16,RB Richardson,UV Gandhe,CB Gaffaney,"AK Chaudhary, A Nand Kishore",Kolkata Knight Riders,N Rana,field,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,20.0,201
72,6,Mumbai,2018-04-17,J Srinath,N Pandit,KN Ananthapadmanabhan,"Nitin Menon, RJ Tucker",Mumbai Indians,RG Sharma,field,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,20.0,214
73,6,Jaipur,2018-04-18,M Nayyar,K Srinath,C Shamshuddin,"A Deshmukh, S Ravi",Kolkata Knight Riders,N Rana,field,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,20.0,161
74,6,Chandigarh,2018-04-19,S Chaturvedi,R Pandit,VA Kulkarni,"AK Chaudhary, NJ Llong",Kings XI Punjab,CH Gayle,bat,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,20.0,194
75,6,Pune,2018-04-20,J Srinath,N Pandit,RJ Tucker,"KN Ananthapadmanabhan, Nitin Menon",Chennai Super Kings,SR Watson,field,Rajasthan Royals,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,20.0,205
76,6,Kolkata,2018-04-21,M Nayyar,K Srinath,S Ravi,"A Deshmukh, C Shamshuddin",Kings XI Punjab,KL Rahul,field,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,13.0,125
77,6,Bengaluru,2018-04-21,RB Richardson,UV Gandhe,A Nand Kishore,"CB Gaffaney, CK Nandan",Royal Challengers Bangalore,AB de Villiers,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,20.0,175
78,6,Hyderabad,2018-04-22,S Chaturvedi,R Pandit,NJ Llong,"AK Chaudhary, VA Kulkarni",Chennai Super Kings,AT Rayudu,field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,20.0,183
79,6,Jaipur,2018-04-22,J Srinath,HAS Khalid,Nitin Menon,"KN Ananthapadmanabhan, RJ Tucker",Rajasthan Royals,JC Archer,bat,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,20.0,168
80,6,Delhi,2018-04-23,RB Richardson,GR Sadashiv Iyer,CB Gaffaney,"A Nand Kishore, CK Nandan",Kings XI Punjab,AS Rajpoot,field,Delhi Daredevils,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,20.0,144
81,6,Mumbai,2018-04-24,V Narayan Kutty,K Srinath,A Deshmukh,"C Shamshuddin, S Ravi",Sunrisers Hyderabad,Rashid Khan,field,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,20.0,119
82,6,Bengaluru,2018-04-25,S Chaturvedi,N Pandit,AK Chaudhary,"NJ Llong, VK Sharma",Chennai Super Kings,MS Dhoni,field,Chennai Super Kings,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,20.0,206
83,6,Hyderabad,2018-04-26,J Srinath,GR Sadashiv Iyer,RJ Tucker,"CK Nandan, YC Barde",Sunrisers Hyderabad,AS Rajpoot,field,Kings XI Punjab,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kings XI Punjab,20.0,133
84,6,Delhi,2018-04-27,RB Richardson,UV Gandhe,A Nand Kishore,"C Shamshuddin, S Ravi",Delhi Daredevils,SS Iyer,field,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,20.0,220
85,6,Pune,2018-04-28,V Narayan Kutty,HAS Khalid,AY Dandekar,"CB Gaffaney, Nitin Menon",Mumbai Indians,RG Sharma,field,Mumbai Indians,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,20.0,170
86,6,Jaipur,2018-04-29,AJ Pycroft,GR Sadashiv Iyer,S Ravi,"BNJ Oxenford, A Nand Kishore",Sunrisers Hyderabad,KS Williamson,bat,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,20.0,152
87,6,Bengaluru,2018-04-29,M Nayyar,R Pandit,VK Sharma,"AK Chaudhary, NJ Llong",Kolkata Knight Riders,CA Lynn,field,Kolkata Knight Riders,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,176
